,c_Sport,c_Season,c_Event,c_Gender,n_DateSort,c_Person,c_PersonNatio,c_NOC,c_Result,n_ResultSort,c_Class
39,Swimming,2018,100m Backstroke,Men,20180407,Chris Walker-Hebborn,England,Great Britain,54.23,54230,Elite
47,Swimming,2018,100m Backstroke,Men,20180406,Luke Greenbank,England,Great Britain,54.37,54370,Elite
60,Swimming,2018,100m Backstroke,Men,20180806,Nicholas Pyle,Great Britain,Great Britain,54.50,54500,Elite
62,Swimming,2018,100m Backstroke,Men,20180406,Xavier Castelli,Wales,Great Britain,54.60,54600,Elite
63,Swimming,2018,100m Backstroke,Men,20180805,Brodie Williams,Great Britain,Great Britain,54.60,54600,Elite
108,Swimming,2018,100m Backstroke,Men,20180405,Elliot Clogg,England,Great Britain,55.08,55080,Elite
111,Swimming,2018,100m Backstroke,Men,20180407,Daniel Cross,Great Britain,Great Britain,55.09,55090,Elite
126,Swimming,2018,100m Backstroke,Men,20180405,Craig McNally,Scotland,Great Britain,55.28,55280,Elite
134,Swimming,2018,100m Backstroke,Men,20180725,Martyn Walton,England,Great Britain,55.34,55340,Elite
174,Swimming,2018,100m Backstroke,Men,20180721,Joseph Clark,Great Britain,Great Britain,55.55,55550,Elite
194,Swimming,2018,100m Backstroke,Men,20180406,Joseph Hulme,Great Britain,Great Britain,55.77,55770,Elite
227,Swimming,2018,100m Backstroke,Men,20180407,Timothy Shuttleworth,Great Britain,Great Britain,55.96,55960,Elite
235,Swimming,2018,100m Backstroke,Men,20180728,Francisco Rogerio Santos,Great Britain,Great Britain,56.03,56030,Elite
241,Swimming,2018,100m Backstroke,Men,20180725,Oliver Fitt,Great Britain,Great Britain,56.07,56070,Elite
242,Swimming,2018,100m Backstroke,Men,20180725,Joseph Small,Great Britain,Great Britain,56.07,56070,Elite
278,Swimming,2018,100m Backstroke,Men,20180725,Liam White,Great Britain,Great Britain,56.29,56290,Elite
296,Swimming,2018,100m Backstroke,Men,20180405,Harry Shalamon,Jersey,Great Britain,56.41,56410,Elite
297,Swimming,2018,100m Backstroke,Men,20180302,Duncan Scott,Scotland,Great Britain,56.43,56430,Elite
306,Swimming,2018,100m Backstroke,Men,20180725,Scott Gibson,Great Britain,Great Britain,56.46,56460,Elite
312,Swimming,2018,100m Backstroke,Men,20180725,James Oxborrow,Great Britain,Great Britain,56.49,56490,Elite
323,Swimming,2018,100m Backstroke,Men,20180725,James Mcfadzen,Great Britain,Great Britain,56.53,56530,Elite
355,Swimming,2018,100m Backstroke,Men,20180725,Callum Barrett,Great Britain,Great Britain,56.67,56670,Elite
375,Swimming,2018,100m Backstroke,Men,20180725,Charlie Brown,Great Britain,Great Britain,56.74,56740,Elite
409,Swimming,2018,100m Backstroke,Men,20180728,William Kearsey,Great Britain,Great Britain,56.86,56860,Elite
424,Swimming,2018,100m Backstroke,Men,20180302,Jack Shillinglaw,Great Britain,Great Britain,56.94,56940,Elite
434,Swimming,2018,100m Backstroke,Men,20180725,Myles Stirk,Great Britain,Great Britain,56.96,56960,Elite
443,Swimming,2018,100m Backstroke,Men,20180302,Thomas Gilroy,Great Britain,Great Britain,57.00,57000,Elite
450,Swimming,2018,100m Backstroke,Men,20180302,Perry Gardner,Great Britain,Great Britain,57.02,57020,Elite
467,Swimming,2018,100m Backstroke,Men,20180725,Jacob Davies,Great Britain,Great Britain,57.11,57110,Elite
479,Swimming,2018,100m Backstroke,Men,20180302,Kyle Chisholm,Great Britain,Great Britain,57.17,57170,Elite
499,Swimming,2018,100m Backstroke,Women,20180806,Georgia Davies,Wales,Great Britain,59.12,59120,Elite
530,Swimming,2018,100m Backstroke,Women,20180809,Kathleen Dawson,Scotland,Great Britain,1:00.17,60170,Elite
542,Swimming,2018,100m Backstroke,Women,20180406,Elizabeth Simmonds,England,Great Britain,1:00.49,60490,Elite
559,Swimming,2018,100m Backstroke,Women,20180406,Cassie Wild,Scotland,Great Britain,1:00.93,60930,Elite
